AAPL = 11,8%;AMGN = 0,2%;AMZN = 2,1%;AXP = 5,3%;BA = 1,6%;CAT = 3,9%;CRM = 16,1%;CSCO = 12,3%;CVX = 0,9%;DIS = 8,1%;GS = 4,1%;HD = 8,0%;HON = 5,7%;IBM = 0,7%;JNJ = 0,6%;JPM = 1,4%;KO = 8,6%;MCD = 0,3%;MMM = 0,8%;MRK = 0,3%;MSFT = 0,3%;NKE = 1,9%;NVDA = 1,7%;PG = 0,5%;SHW = 2,9%;Sharpe = 2,640
AAPL = 6,9%;AMGN = 1,2%;AMZN = 7,3%;AXP = 8,5%;BA = 0,4%;CAT = 4,5%;CRM = 15,2%;CSCO = 9,3%;CVX = 3,1%;DIS = 8,2%;GS = 0,4%;HD = 7,6%;HON = 1,0%;IBM = 5,2%;JNJ = 0,5%;JPM = 1,4%;KO = 2,3%;MCD = 0,6%;MMM = 0,1%;MRK = 4,4%;MSFT = 2,5%;NKE = 0,1%;NVDA = 0,3%;PG = 1,5%;TRV = 7,3%;Sharpe = 2,605
AAPL = 1,7%;AMGN = 0,6%;AMZN = 1,0%;AXP = 1,5%;BA = 0,8%;CAT = 0,6%;CRM = 16,7%;CSCO = 11,4%;CVX = 3,4%;DIS = 11,3%;GS = 6,4%;HD = 3,0%;HON = 4,6%;IBM = 2,5%;JNJ = 0,2%;JPM = 1,4%;KO = 0,8%;MCD = 6,3%;MMM = 2,3%;MRK = 1,5%;MSFT = 9,3%;NKE = 2,7%;NVDA = 3,4%;PG = 0,2%;UNH = 6,3%;Sharpe = 2,379
AAPL = 8,3%;AMGN = 2,1%;AMZN = 3,3%;AXP = 1,9%;BA = 0,5%;CAT = 0,1%;CRM = 6,2%;CSCO = 12,4%;CVX = 0,6%;DIS = 14,4%;GS = 2,8%;HD = 0,5%;HON = 4,4%;IBM = 1,9%;JNJ = 3,8%;JPM = 6,9%;KO = 3,5%;MCD = 5,1%;MMM = 4,3%;MRK = 0,9%;MSFT = 0,6%;NKE = 4,9%;NVDA = 3,4%;PG = 3,5%;V = 3,8%;Sharpe = 2,563
AAPL = 12,6%;AMGN = 1,0%;AMZN = 0,3%;AXP = 4,1%;BA = 1,3%;CAT = 2,2%;CRM = 8,2%;CSCO = 5,1%;CVX = 1,0%;DIS = 5,6%;GS = 5,6%;HD = 6,5%;HON = 1,0%;IBM = 1,9%;JNJ = 1,2%;JPM = 10,0%;KO = 0,2%;MCD = 11,1%;MMM = 0,1%;MRK = 1,3%;MSFT = 1,5%;NKE = 0,0%;NVDA = 6,2%;PG = 2,2%;VZ = 9,9%;Sharpe = 2,472
AAPL = 5,5%;AMGN = 0,3%;AMZN = 6,1%;AXP = 4,9%;BA = 1,2%;CAT = 7,2%;CRM = 3,1%;CSCO = 12,3%;CVX = 1,1%;DIS = 8,4%;GS = 2,0%;HD = 7,3%;HON = 2,9%;IBM = 1,1%;JNJ = 0,5%;JPM = 0,3%;KO = 1,5%;MCD = 3,1%;MMM = 7,8%;MRK = 2,7%;MSFT = 4,5%;NKE = 0,3%;NVDA = 2,9%;PG = 0,4%;WMT = 12,6%;Sharpe = 2,736
AAPL = 5,1%;AMGN = 0,9%;AMZN = 3,5%;AXP = 2,7%;BA = 2,3%;CAT = 3,8%;CRM = 13,5%;CSCO = 13,6%;CVX = 2,8%;DIS = 10,1%;GS = 0,4%;HD = 0,8%;HON = 3,6%;IBM = 3,9%;JNJ = 1,1%;JPM = 0,7%;KO = 0,4%;MCD = 6,6%;MMM = 4,2%;MRK = 2,0%;MSFT = 2,6%;NKE = 7,2%;NVDA = 4,7%;SHW = 0,7%;TRV = 2,6%;Sharpe = 2,550
AAPL = 14,6%;AMGN = 0,3%;AMZN = 2,2%;AXP = 1,3%;BA = 2,3%;CAT = 4,9%;CRM = 1,7%;CSCO = 7,0%;CVX = 2,6%;DIS = 4,1%;GS = 2,2%;HD = 8,3%;HON = 8,4%;IBM = 10,1%;JNJ = 1,2%;JPM = 3,1%;KO = 4,4%;MCD = 4,2%;MMM = 2,7%;MRK = 0,5%;MSFT = 0,2%;NKE = 4,2%;NVDA = 5,5%;SHW = 3,6%;UNH = 0,5%;Sharpe = 2,276
AAPL = 10,1%;AMGN = 0,5%;AMZN = 0,1%;AXP = 1,9%;BA = 0,4%;CAT = 1,1%;CRM = 3,7%;CSCO = 16,5%;CVX = 7,0%;DIS = 4,5%;GS = 2,1%;HD = 3,3%;HON = 3,9%;IBM = 10,7%;JNJ = 0,6%;JPM = 0,2%;KO = 2,9%;MCD = 10,4%;MMM = 3,4%;MRK = 1,0%;MSFT = 6,6%;NKE = 3,2%;NVDA = 2,0%;SHW = 0,9%;V = 2,8%;Sharpe = 2,464
AAPL = 7,5%;AMGN = 3,2%;AMZN = 0,6%;AXP = 1,3%;BA = 1,0%;CAT = 1,6%;CRM = 13,4%;CSCO = 10,1%;CVX = 0,4%;DIS = 5,6%;GS = 1,1%;HD = 5,3%;HON = 5,4%;IBM = 3,7%;JNJ = 5,2%;JPM = 2,0%;KO = 0,7%;MCD = 9,9%;MMM = 1,5%;MRK = 1,7%;MSFT = 2,0%;NKE = 0,5%;NVDA = 2,2%;SHW = 5,7%;VZ = 8,0%;Sharpe = 2,286
